cu,ru,mp,bl,cc,lt,ram,rm,emo,scr,jit,cf,dly,bw,cnl,mos
11,85.506466,2.8,39,4,45,1856,3,1,3,18.559,2265,252.649,770,0,VeryGood
16,75.646552,0.57,53,4,31,1856,3,1,3,23.945,2265,248.858,656,1,Good
35,79.748603,2.4,70,2,41,716,2,3,6,133.944,1200,124.366,623,0,Good
23,73.913043,2.6,48,4,51,851,2,1,1,22.432,1190,112.189,677,0,Good
10,56.893733,2.2,41,4,32,1835,3,1,2,16.568,1512,208.907,651,0,VeryGood
14,62.392241,6.1,54,4,52,1856,3,1,3,1.962,2265,114.659,603,0,Good
27,79.228856,5.5,85,2,41,804,2,1,6,13.391,1000,363.847,716,0,VeryGood
25,73.090482,1.56,100,4,48,851,2,3,1,4.61,1190,161.748,688,0,Good
46,80.970149,0.63,88,2,59,804,2,1,6,39.113,1000,325.637,540,1,Good
15,70.635776,3.2,58,4,27,1856,3,1,3,35.098,2265,241.066,591,0,Good
17,74.383079,6.1,45,4,86,851,2,1,1,6.127,1190,220.633,227,1,Poor
15,78.936056,2.8,70,4,19,1861,3,1,3,17.398,1600,239.415,1048,0,Excellent
29,84.242424,2.4,63,2,21,825,1,3,6,2.521,1200,230.318,218,0,Poor
42,86.787879,4.4,62,2,30,825,1,3,6,3.832,1200,203.572,253,1,Poor
19,82.338308,2.9,43,2,19,804,2,1,6,5.055,1000,142.229,717,0,VeryGood
46,81.094527,5.9,37,2,31,804,2,4,6,33.968,1000,172.904,518,1,Good
10,70.152761,6.3,41,4,85,851,2,3,1,38.203,1190,235.501,269,1,Poor
9,72.26792,6.5,99,4,109,851,2,3,1,35.909,1190,232.967,215,0,Poor
12,73.678026,7.6,49,4,18,851,2,3,1,33.744,1190,225.237,194,1,Poor
19,79.365932,3.19,72,4,25,1861,3,1,3,2.523,1600,219.961,600,1,Good
20,82.883875,6,21,4,53,1817,3,1,3,44.664,1890,213.787,351,1,Bad
15,80.132086,0,26,4,23,1817,3,1,3,6.048,1890,244.198,1296,0,Excellent
11,81.842672,0.059,58,4,25,1856,3,3,3,15.711,2265,177.063,1207,0,Excellent
40,77.61194,3.5,80,1,46,335,1,3,7,17.976,1024,332.663,382,1,Good
22,70.505288,0,50,4,14,851,2,3,1,2.726,1190,114.304,1525,0,Excellent
15,87.715517,0.55,39,4,23,1856,3,3,3,18.724,2265,135.693,1480,0,Excellent
13,84.482759,0.24,48,4,24,1856,3,1,3,31.896,2265,143.696,1231,0,Excellent
32,85.671642,5.3,76,1,31,335,1,2,7,1.808,1024,364.63,265,1,Poor
26,77.377049,5.8,78,2,33,915,1,1,8,1.939,1190,166.648,488,0,Good
37,88.059701,2.4,53,2,31,804,2,1,6,16.92,1000,156,798,0,VeryGood
21,83.457711,5.8,46,2,33,804,2,3,6,17.912,1000,130.006,580,1,Good
15.23648,85.344828,5.3,70,4,92,1856,3,3,3,13.513,2265,129.101,400,1,Poor
42,85.671642,2.6,75,1,40,335,1,1,7,33.881,1024,207.51,724,0,VeryGood
24,79.850746,2.5,40,2,25,804,2,1,6,45.09,1000,199.119,457,1,Good
12.36523,88.469828,5.8,45,4,111,1856,3,3,3,16.595,2265,181.562,207,1,Poor
13,82.697474,4.4,75,4,51,1861,3,1,3,4.167,1600,228.871,518,1,Good
13,84.428879,5.8,55,4,62,1856,3,3,3,40.83,2265,143.153,524,1,Good
10.253984,80.064481,2.58,71,4,29,1861,3,1,3,3.075,1600,225.966,423,1,Poor
12.89741,90.547996,6.2,92,4,62,2719,3,1,3,7.974,1700,225.078,336,1,Poor
11.14,66,0,21,4,12,2884,3,3,3,4.173,2457,304.903,1145,0,Excellent
13.24,66,2.7,19,4,12,2884,3,2,3,13.04,2457,352.158,953,0,Excellent
10,77.437642,2.6,7,4,107,882,2,1,1,15.57,1190,210.583,247,1,Poor
18,86.127168,6.1,73,1,102,173,1,3,5,15.135,1008,602.272,211,0,Poor
7.23569,71.928879,6.1,58,4,21,1856,3,1,3,21.168,2265,117.259,381,1,Poor
23.47896,72.952667,6.6,84,2,50,1331,2,1,8,26.866,1728,207.004,210,1,Poor
15.13,66,0.7,20,4,19,2884,3,1,3,8.142,2457,271.326,721,0,VeryGood
9.2,70,0.25,56,4,61,1856,3,3,3,34.616,2265,363.439,325,1,Poor
23.04,74,2.5,74,2,21,555,1,1,6,41.743,800,333.824,92.8,1,Bad
34,71.750563,0,84,2,18,1331,2,1,8,2.189,1728,155.554,1519,0,Excellent
32.91,85,2.7,43,2,50,464,1,1,6,64.179,999,423.521,308,1,Poor
52,74.626866,0,57,1,25,335,1,3,7,3.11,1024,320.454,1127,0,VeryGood
16,71.174569,2.64,60,4,39,1856,3,1,3,28.936,2265,303.135,421,1,Good
10.59,74,0.29,71,2,21,555,1,1,6,29.958,800,167.57,1138,0,Excellent
15.29,65,0.6,25,4,34,2884,3,3,3,7.098,2457,179.107,574,0,Good
12,74.716553,1.4,15,4,19,882,2,1,1,4.471,1190,107.098,1493,0,Excellent
60,89.017341,5.5,70,1,84,173,1,1,5,30.397,1008,266.224,191,0,Poor
20.72,85,2.5,42,2,71,464,1,3,6,19.972,999,359.832,337,1,Poor
10,73.325499,5.7,24,4,95,851,2,3,1,31.68,1190,122.706,331,0,Poor
6.32563,82.333517,5.7,17,4,70,1817,3,1,3,34.893,1890,208.852,292,0,Poor
27,73.24263,4.6,12,4,56,882,2,1,1,34.891,1190,247.763,69.2,1,Bad
11,73.922902,0,10,4,26,882,2,1,1,2.201,1190,196.635,1187,0,Excellent
14.59,72,2.4,65,4,50,1817,3,3,3,156.306,1890,516.019,431,1,Poor
16.87,66,0.26,22,4,40,2884,3,3,3,50.244,2457,366.194,337,0,Poor
11.36254,70.505288,4.9,57,4,66,851,2,2,1,18.415,1190,160.503,210,0,Poor
28,85,0.18,34,2,13,554,1,1,6,7.766,1000,470.3,73.8,1,Bad
17,79,5.7,32,2,19,554,1,1,6,7.035,1000,255.99,70.6,1,Bad
9,75.510204,6.3,14,4,34,882,2,1,1,37.57,1190,245.555,129,1,Bad
35,80,0.25,36,2,21,554,1,1,6,33.327,1000,373.449,86.4,1,Bad
12,70.096983,0.059,61,4,16,1856,3,1,3,13.066,2265,176.672,1140,0,Excellent
8.425679,71.605603,5.2,58,4,24,1856,3,1,3,21.991,2265,128.375,279,1,Poor
13.5,70,1.7,80,4,29,888,2,1,1,174.859,1190,277.478,1136,0,VeryGood
20.26,81,0.29,88,2,12,1331,2,3,8,31.485,1728,144.535,1146,0,Excellent
16.58,86,0.59,34,2,28,464,1,3,6,31.038,999,282.525,810,0,VeryGood
18.24,66,2.6,17,4,47,2884,3,3,3,51.222,2457,564.778,210,1,Poor
14,82,0.059,56,2,13,619,1,2,6,19.304,1008,229.05,1137,0,Excellent
23.33,81,5.7,86,2,31,1331,2,1,8,48.164,1728,104.752,468,0,Good
23.92,86,2.83,36,2,41,464,1,3,6,4.609,999,269.956,619,0,Good
